Region,Slope,Slope p-value,Changepoint,Changepoint p-value
ACC,-0.11924989,0.08275447,25,0.02701826
ARC,0.896591074,0.002244172,23,0.002184261
AUS,1.003378906,1.70E-07,16,1.03E-05
IND,0.872346463,3.40E-08,23,5.86E-05
NEA,0.697543007,4.14E-08,20,5.78E-06
NEP,1.061180899,0.000356408,20,0.018218095
NWA,1.622026747,2.26E-10,21,2.95E-06
NWP,0.958787879,2.97E-10,14,1.59E-05
SEA,0.769682512,0.000162223,21,0.000112976
SP,1.020815735,0.000323689,23,0.007491368
SWA,0.901377589,2.91E-07,21,1.11E-05
